created;sku;quantity;amount;name
"2020-12-05 01:16:58.956";"129275";"1";"4573";"Letrero rectangular pared"
"2020-12-05 07:07:44.621";"113428";"1";"17171";"Piscina inflable rectangular Family Pool 262x175x51cm"
"2020-12-08 18:56:42.886";"129330";"1";"4573";"Corona de navidad 35cm"
"2020-12-08 18:56:42.886";"129342";"2";"676";"Guirnalda navidad roja"
"2020-12-08 18:56:42.886";"129296";"1";"1478";"Set x 4 cintas Navidad"
"2020-12-08 18:56:42.886";"129280";"1";"3427";"Reno decorativo Ratán Led"
"2020-12-08 18:56:42.886";"129319";"1";"4000";"Set x 12 berries Rojos 18cm"
"2020-12-08 18:56:42.886";"129678";"1";"1478";"Set x 6 bastones colgantes dorados"
"2020-12-08 18:56:42.886";"129897";"1";"791";"Cinta decorativa estampada rojo"
"2020-12-08 18:56:42.886";"129868";"6";"562";"Flor artificial Piñas 17cm Natural Navidad"
"2020-12-08 18:56:42.886";"129410";"6";"791";"Flor en maceta plástico variado 3"
"2020-12-08 18:56:42.886";"129402";"6";"791";"Flor en maceta plástico variado 2"
"2020-12-09 07:47:36.461";"32987";"1";"38009";"Campana extractora Pari de acero inoxidable 60 cm. Gris"
"2020-12-10 10:31:11.845";"76162";"1";"95309";"Piscina estructural 400x211x81cm Splash Frame 5700 litros"
"2020-12-10 10:42:05.348";"113427";"1";"7621";"Piscina inflable Aros 157x46cm 522 litros"
"2020-12-10 10:42:05.348";"76161";"1";"66659";"Piscina estructural Splash Frame 300x201x66c 3300 litros"
"2020-12-11 10:35:25.156";"107162";"1";"66659";"Centro de entretenimiento Mónaco Ártico / Negro"
"2020-12-11 10:35:25.156";"49964";"1";"1700";"Canaleta con adhesivo Blanco 20x12mm"
"2020-12-11 10:35:25.157";"30767";"1";"4756";"Extensión P-Tools U. SJTW 3x16AWG 5 metros"
"2020-12-11 10:58:22.295";"76161";"1";"66659";"Piscina estructural Splash Frame 300x201x66c 3300 litros"
"2020-12-11 11:28:31.372";"131440";"1";"190809";"Lavadora WA13T5260BY/PE Gris 13kg"
"2020-12-11 16:42:46.701";"106732";"1";"43911";"Olla arrocera con streamer 4.2 litros"
"2020-12-11 22:18:59.856";"58021";"1";"38181";"Vanitorio Ares Blanco"
"2020-12-11 22:18:59.856";"2239";"1";"7621";"Servicio de armado"
